city,province,activity,spots
Nelson,British Columbia,Picnic,"['Bambi Picnic Vancouver', 'Guelph Park', 'Belcarra Picnic Area', 'Meunch Bar Picnic Area', 'Burnaby Fraser Foreshore Park']"
Nelson,British Columbia,Photography,"['Vancouver Photographer | Enjoy The Journey Studios', 'Bloedel Conservatory', 'Equinox Gallery', 'Guelph Park', 'Canada Place', 'Gastown Steam Clock', 'Kennedy Falls']"
Nelson,British Columbia,Cycling,"['Van City Bikes and Skis', 'Great Explorations', 'Mactalla Cycles']"
Nelson,British Columbia,Rock Climbing,"['Vancouver Climbers Association', 'Climblife', 'Vancouver Mountain Guides']"
Nelson,British Columbia,Cherry Blossom Viewing,"['Jean Beaty Park', 'Cherry Blossom Avenue', 'Greenheart TreeWalk', 'Sunrise Park', 'Mount Pleasant Park', 'Andy Livingstone Park']"
New Westminster,British Columbia,Fishing,"['Cabin Lake', 'Rolley Lake Provincial Park', 'Rocky Point Park']"
New Westminster,British Columbia,Rock Climbing,"['The Rock Wall Climbing Gym', 'The Hive Heights', 'The Hive Climbing and Fitness']"
New Westminster,British Columbia,Picnic,"['Confederation Park Picnic Areas', 'Belcarra Picnic Area']"
North Vancouver,British Columbia,Fishing,"['Rolley Lake Provincial Park', 'Capilano River Hatchery', 'Rocky Point Park', 'Fraser River Park', 'ABF Charters/ Guided Sportfishing/Gibsons BC', 'Kanaka Creek Regional Park', 'Westminster Pier Park']"
North Vancouver,British Columbia,Mountaineering,"['Hiking trails & scenic valley views', 'Cabin Lake', 'Ammonite Falls', 'Crown Mountain', 'Capilano Suspension Bridge Park', 'Vancouver Mountain Guides', 'Mt Thom Park']"
North Vancouver,British Columbia,Photography,"['Queen Elizabeth Park', 'Kennedy Falls', 'Guelph Park', 'Lighthouse Park | West Vancouver', 'Bloedel Conservatory', 'Museum of Archaeology & Ethnology', 'VanDusen Botanical Garden']"
Oak Bay,British Columbia,Boating,"['2nd Launch boat', 'Reed Point Marina', 'Heather Civic Marina', 'Coal Harbour Marina', 'Crescent Beach Marina', 'Cates Park Boat Ramp', 'Mosquito Creek Marina', 'Shelter Island Marina & Boatyard']"
Oak Bay,British Columbia,Mountaineering,"['Ammonite Falls', 'Stanley Park']"
Oak Bay,British Columbia,Hiking/Trekking,"[""Drummond's Walk"", 'Burnaby Mountain Conservation Area', 'Southshore Trail', 'Glenbrook Ravine Trail']"
Oak Bay,British Columbia,Swimming,"['Killarney Pool', 'Garden Grove Dr', 'MacPherson Outdoor Pool', 'SFU Aquatic Centre', 'Kensington Park Outdoor Pool', 'Second Beach Swimming Pool']"
Oak Bay,British Columbia,Photography,"['Creekside Park', 'Digital Orca', 'Guelph Park', 'Canada Place', 'Gastown Steam Clock', 'Equinox Gallery']"
Penticton,British Columbia,Photography,"['VanDusen Botanical Garden', 'Digital Orca', 'Equinox Gallery', 'Bloedel Conservatory', 'Prospect Point Lookout', 'Guelph Park']"
Penticton,British Columbia,Cherry Blossom Viewing,"['Alice Townley Park', 'Salsbury Park', 'Nikkei National Museum & Cultural Centre', 'Cherry Blossom Garden', 'UBC Botanical Garden', 'Minoru Park']"
Penticton,British Columbia,Boating,"['Mosquito Creek Marina', 'BURNABY SAILING ASSOCIATION - Barnet Marine Park', 'Bayshore West Marina', 'Westminster Pier Park', 'Burnaby Fraser Foreshore Park', 'Coal Harbour Marina']"
Penticton,British Columbia,Hiking/Trekking,"['Trail of Hope', 'Burnaby Lake Regional Park', 'Burnaby lake']"
Penticton,British Columbia,Mountaineering,"['Vancouver Mountain Guides', 'Watersprite Lake', 'West Lion']"
Powell River,British Columbia,Cycling,"[""Cap's Electric Bike Centre"", 'Steed Cycles', 'Reckless Shipyards: eBikes, Skis & More!', 'Union Street Cycle', 'Velo Star Cafe', 'HUB Cycling', 'Bert Flinn Park', 'Yes Cycle Bike Rental']"
Powell River,British Columbia,Swimming,"['SFU Aquatic Centre', 'Second Beach Swimming Pool', 'Vancouver Aquatic Centre', 'Renfrew Park Pool', 'Port Coquitlam Leisure Pool']"
Powell River,British Columbia,Beach,"['Dundarave Beach', 'White Pine Beach', 'Pebbly Beach', 'Third Beach', 'Maple Beach', 'Second Beach', 'Spanish Banks Beach', 'Buntzen Lake North Beach']"
Powell River,British Columbia,Mountaineering,"['Hiking trails & scenic valley views', 'Vancouver Mountain Guides', 'Ammonite Falls', 'Cabin Lake', 'Whytecliff Park | West Vancouver', 'West Lion', 'Grouse Grind Trail', 'Pinecone Burke Provincial Park']"
Powell River,British Columbia,Rock Climbing,"['Climb Base5 (North Vancouver)', 'Coastal Climbing Centre', 'The Hive Climbing and Fitness', 'Thompson community bouldering']"
Powell River,British Columbia,Skiing/Snowboarding,"['Mount Cain Alpine Park', 'Whistler Blackcomb', 'Revelstoke Mountain Resort']"
Prince George,British Columbia,Swimming,"['Lord Byng Pool & Fitness Centre', 'SFU Aquatic Centre', 'Vancouver Aquatic Centre', 'MacPherson Outdoor Pool', 'Templeton Park Pool', 'City Centre Aquatic Complex', 'Central Park Outdoor Pool', 'Killarney Pool']"
Prince George,British Columbia,Cycling,"['Tynehead Regional Park', 'Cycle City Bike Shop & Repairs', 'Kissing Crows Cyclery', 'Bikes For All', 'Great Explorations', 'Bert Flinn Park', 'Van City Bikes and Skis', 'HUB Cycling']"
Prince George,British Columbia,Camping,"['Montague Provincial Campground (K2 Park Service)', 'Muskrat Meadow Outdoor Group Campsite']"
Prince Rupert,British Columbia,Fishing,"['Fraser Fishing Adventures', 'Burnaby Fraser Foreshore Park', 'ABF Charters/ Guided Sportfishing/Gibsons BC', 'Silversides Fishing Adventures', 'Westminster Pier Park', 'Cabin Lake']"
Prince Rupert,British Columbia,Hiking/Trekking,"['Willingdon Jogging Trail', 'Burnaby Mountain Conservation Area', 'Burnaby Mountain Biking and Hiking Trails']"
Prince Rupert,British Columbia,Beach,"['Parkside Beach', 'Spanish Banks Beach', 'White Pine Beach', 'Buntzen Lake North Beach', 'Kitsilano Beach Park', 'New Brighton Beach']"
Prince Rupert,British Columbia,Photography,"['Olympic Cauldron', 'Stanley Park']"
Prince Rupert,British Columbia,Mountaineering,"['West Lion', 'Pinecone Burke Provincial Park', 'Say Nuth Khaw Yum Provincial Park', 'Grouse Grind Trail', 'Kennedy Falls', 'Ammonite Falls', 'Hiking trails & scenic valley views', 'Woodland Falls']"
Quesnel,British Columbia,Canoeing,"['Gulf Island Kayaking', 'North Island Kayak']"
Quesnel,British Columbia,Skiing/Snowboarding,"['Troll Ski Resort', 'Mount Timothy Recreational Resort', 'Dakota Ridge Ski Area', 'Cypress Mountain', 'RED Mountain Resort', 'Fortress Ski Area']"
Quesnel,British Columbia,Horse-riding,"['Copper Cayuse Outfitters', 'Valle Vista Stables', 'Inspire horsemanship', 'Sun Hills Riding Centre']"
Quesnel,British Columbia,Swimming,"['Kerrisdale Pool', 'Garden Grove Dr', 'Vancouver Aquatic Centre', 'Wading Pool']"
Revelstoke,British Columbia,Photography,"['Equinox Gallery', 'Capilano Suspension Bridge Park', 'Prospect Point Lookout', 'Museum of Archaeology & Ethnology', 'Bloedel Conservatory', 'Gastown Steam Clock', 'Stanley Park', 'Canada Place']"
Revelstoke,British Columbia,Swimming,"['C.G. Brown Memorial Pool', 'Renfrew Park Pool', 'City Centre Aquatic Complex', 'Second Beach Swimming Pool']"
Revelstoke,British Columbia,Beach,"['Buntzen Lake North Beach', 'White Pine Beach', 'Sunset Beach Park']"
Revelstoke,British Columbia,River Rafting,"['Hydra River Guides', 'Kumsheen Rafting Resort', 'Wedge Rafting', 'West Coast Canyoning Adventures', 'Adams River Rafting Ltd', 'Chilliwack River Rafting', 'Glacier Guides and Montana Raft']"
Revelstoke,British Columbia,Canoeing,"['Whytecliff Park | West Vancouver', 'Skyview Outdoors', 'Bowron Lake Provincial Park', 'Northshore Kayaking', 'Vancouver Seawall', 'Creekside Kayaks at Dragon Boat BC']"
Rossland,British Columbia,Horse-riding,"['Conestogo River Horseback Adventures', 'North Shore Equestrian Centre', 'Glen Valley Stables', 'Boundary Ranch', 'Valle Vista Stables', 'Banff Trail Riders - Stables', 'Saddle Peak Trail Rides']"
Rossland,British Columbia,Canoeing,"['North Island Kayak', 'Wildcoast Adventures', 'Northern Rockies Adventures', 'Northshore Kayaking', 'Gulf Island Kayaking', 'Bowron Lake Provincial Park', 'Creekside Kayaks at Dragon Boat BC', 'Talaysay Tours', 'Majestic Ocean Kayaking']"
Rossland,British Columbia,Swimming,"['Eileen Dailly Leisure Pool & Fitness Centre', 'MacPherson Outdoor Pool', 'Port Coquitlam Leisure Pool', 'Kensington Park Outdoor Pool', 'Second Beach Swimming Pool', 'Renfrew Park Pool', 'SFU Aquatic Centre', 'C.G. Brown Memorial Pool', 'Templeton Park Pool']"
Rossland,British Columbia,Cherry Blossom Viewing,"['Vanier Park', 'Alice Townley Park', 'Queen Elizabeth Park', 'Mount Pleasant Park', 'Jean Beaty Park', 'Devonian Harbour Park', 'Stanley Park', 'Sunrise Park', 'UBC Botanical Garden']"
Trail,British Columbia,River Rafting,"['Chilliwack River Rafting', 'Winding Waters River Expeditions', 'River Drifters - White Salmon River Rafting']"
Trail,British Columbia,Cycling,"['Coal Harbour Bike Rental', 'Great Explorations', 'HUB Cycling', ""Cap's Electric Bike Centre"", 'Steed Cycles', 'Reckless Shipyards: eBikes, Skis & More!', ""Cap's Bicycle Shop"", 'Bikes For All', 'Kissing Crows Cyclery']"
Trail,British Columbia,Hiking/Trekking,"['Jug Island Trailhead', 'Glenbrook Ravine Trail', 'Willingdon Jogging Trail', 'Velodrome Trail', 'Burnaby lake', 'Burnaby Mountain Biking and Hiking Trails']"
Vancouver,British Columbia,Fishing,"[""Lang's Fishing Adventures"", 'Burnaby Fraser Foreshore Park', 'Cleveland Dam', 'Cabin Lake', 'Stave River', 'Westminster Pier Park', 'Deer Lake Park', 'Rocky Point Park']"
Vancouver,British Columbia,Mountaineering,"['Cheam Peak', 'Kennedy Falls', 'Rocky Mountaineer Station', 'Crown Mountain']"
Vancouver,British Columbia,Cycling,"['Great Explorations', 'Burnaby Mountain Bike Skills Facility', ""Cap's Bicycle Shop"", ""Cap's Electric Bike Centre"", 'Willingdon Linear Park', 'Kissing Crows Cyclery', 'Steed Cycles', 'Bikes For All']"
Vancouver,British Columbia,Canoeing,"['Grant Narrows Park at Pitt–Addington Marsh Wildlife Management Area', 'Northern Rockies Adventures', 'Gulf Island Kayaking', 'Banff Canoe Club', 'Northshore Kayaking']"
Vernon,British Columbia,Boating,"['Coal Harbour Marina', 'Cooper Boating']"
Vernon,British Columbia,Photography,"['Creekside Park', 'Gastown Steam Clock', 'Equinox Gallery', 'Canada Place', 'Lighthouse Park | West Vancouver', 'Museum of Archaeology & Ethnology']"
Vernon,British Columbia,Hiking/Trekking,"['Suraci’s Trail', 'Glenbrook Ravine Trail', 'Burnaby Mountain Conservation Area', 'West Forest Trails', 'Velodrome Trail', 'Burnaby Lake Regional Park', 'Trans Canada Trail', 'South Side Trail']"
Vernon,British Columbia,Cherry Blossom Viewing,"['Sunrise Park', 'Queen Elizabeth Park', 'Nikkei National Museum & Cultural Centre', 'Mount Pleasant Park', 'John Hendry Park (Trout Lake Park)', 'Cherry Blossom Intersection', 'Jean Beaty Park']"
Vernon,British Columbia,Rock Climbing,"['Climb Away', 'Thompson community bouldering', 'Bomber Climbing', ""Clip 'n Climb Vancouver"", 'Project Climbing Centre', 'Climblife', 'Ground Up Climbing Centre']"
Vernon,British Columbia,Skiing/Snowboarding,"['Fortress Ski Area', 'Whistler Blackcomb', 'Dakota Ridge Ski Area', 'SilverStar Mountain Resort', 'Mount Timothy Recreational Resort', 'Mount Cain Alpine Park', 'Baldy Mountain Resort', 'Whistler Blackcomb']"
Victoria,British Columbia,Photography,"['Queen Elizabeth Park', 'Museum of Archaeology & Ethnology']"
Victoria,British Columbia,Horse-riding,"['Glen Valley Stables', 'Leghorn Ranch Horseback Trail Rides', 'Hidden Trails Ltd', 'Copper Cayuse Outfitters', 'Southlands Heritage Farm', 'A/Z Mountain Adventures']"
Victoria,British Columbia,Cycling,"['Union Street Cycle', ""Cap's Electric Bike Centre"", 'Mactalla Cycles', 'Steed Cycles', ""Cap's Bicycle Shop"", 'Tynehead Regional Park']"
Victoria,British Columbia,Fishing,"['Lost Lagoon, Stanley Park', 'Burnaby Lake Regional Park', 'Cleveland Dam', 'Fishing dock', 'Fraser Fishing Adventures', 'Deer Lake Park']"
Victoria,British Columbia,Rock Climbing,"['Bomber Climbing', 'Climb Base5 (Coquitlam)', 'Vancouver Climbers Association', 'SFU Climbing Wall', 'Climblife']"
West Vancouver,British Columbia,Boating,"['Ambleside Park | West Vancouver', '2nd Launch boat', 'BURNABY SAILING ASSOCIATION - Barnet Marine Park', 'Bayshore West Marina', 'Mosquito Creek Marina']"
West Vancouver,British Columbia,Horse-riding,"['Inspire horsemanship', 'Southlands Heritage Farm', 'Pacific Riding for Developing Abilities', 'Copper Cayuse Outfitters', 'Banff Trail Riders - Stables', 'North Shore Equestrian Centre', 'Trail Riders of the Canadian Rockies', 'Pathways on Pleasure Valley', 'Footnote Farm']"
West Vancouver,British Columbia,Photography,"['Equinox Gallery', 'VanDusen Botanical Garden', 'Bloedel Conservatory', 'Olympic Cauldron']"
West Vancouver,British Columbia,Canoeing,"['Skyview Outdoors', 'Northern Rockies Adventures', 'Bowron Lake Provincial Park', 'Wildcoast Adventures', 'Spirit of the West Adventures']"
White Rock,British Columbia,Horse-riding,"['Leghorn Ranch Horseback Trail Rides', 'Hidden Trails Ltd']"
White Rock,British Columbia,Photography,"['Prospect Point Lookout', 'Olympic Cauldron', 'Sunset Beach Park', 'Gastown Steam Clock', 'Creekside Park', 'Museum of Archaeology & Ethnology', 'Rocky Point Park', 'FlyOver Canada']"
White Rock,British Columbia,Mountaineering,"['Watersprite Lake', 'Capilano Suspension Bridge Park']"
White Rock,British Columbia,Hiking/Trekking,"['Trail of Hope', 'Velodrome Trail']"
Brandon,Manitoba,Rock Climbing,"['Coastal Climbing Centre', 'Thompson community bouldering', 'Outdoor Bouldering Wall', 'Project Climbing Centre', 'The Hive Climbing and Fitness']"
Brandon,Manitoba,Camping,"[""Girl Guides of Canada - Woodward's Landing Campground"", 'Rolley Lake Provincial Park', 'British Columbia Lodging & Campgrounds Association', 'Campertunity']"
Brandon,Manitoba,Cherry Blossom Viewing,"['Mount Pleasant Park', 'Prince Edward Park', 'Stanley Park', 'John Hendry Park (Trout Lake Park)', 'UBC Botanical Garden']"
Brandon,Manitoba,Photography,"['Vancouver Photographer | Enjoy The Journey Studios', 'Guelph Park', 'VanDusen Botanical Garden', 'Museum of Archaeology & Ethnology']"
Brandon,Manitoba,Mountaineering,"['Say Nuth Khaw Yum Provincial Park', 'Mount Arrowsmith', 'Ammonite Falls', 'Stanley Park']"
Churchill,Manitoba,Fishing,"['Silversides Fishing Adventures', 'Capilano River Hatchery', ""Lang's Fishing Adventures"", 'Stave River', 'Westminster Pier Park', 'Whytecliff Park | West Vancouver', 'Deer Lake Park', 'Fraser Fishing Adventures']"
Churchill,Manitoba,Canoeing,"['Skyview Outdoors', 'Northern Rockies Adventures', 'Seaward Kayaks', 'Creekside Kayaks at Dragon Boat BC', 'North Island Kayak', 'Wildcoast Adventures', 'Grant Narrows Park at Pitt–Addington Marsh Wildlife Management Area', 'Gulf Island Kayaking', 'Banff Canoe Club']"
Churchill,Manitoba,River Rafting,"['Glacier Guides and Montana Raft', 'Wedge Rafting', 'Interior Whitewater Expeditions Ltd', 'Hydra River Guides', 'Alpine Adventures', 'Osprey Rafting Company', 'Orion River Rafting', 'Winding Waters River Expeditions']"
Churchill,Manitoba,Swimming,"['City Centre Aquatic Complex', 'Central Park Outdoor Pool', 'Killarney Pool', 'MacPherson Outdoor Pool', 'Blue Mountain Wading Pool', 'RONA Coquitlam (Austin)', 'Wading Pool', 'Kensington Park Outdoor Pool']"
Dauphin,Manitoba,Boating,"['Burnaby Fraser Foreshore Park', 'Grant Narrows Park at Pitt–Addington Marsh Wildlife Management Area', 'Westminster Pier Park']"
Dauphin,Manitoba,Canoeing,"['Northern Rockies Adventures', 'North Island Kayak', 'Bowron Lake Provincial Park', 'Seaward Kayaks', 'Kanaka Creek Regional Park', 'Gulf Island Kayaking', 'Grant Narrows Park at Pitt–Addington Marsh Wildlife Management Area', 'Say Nuth Khaw Yum Provincial Park', 'Majestic Ocean Kayaking']"
Dauphin,Manitoba,Camping,"['Discover Camping', ""Raven's Nest Outdoor Group Campsite"", 'Bishop Creek Marine Campground', 'BC Hydro Stave Falls Lodge and Campsite', 'BCRV', 'Dogwood Campgrounds & RV Park', 'Fort Camping']"
Dauphin,Manitoba,Mountaineering,"['Vancouver Mountain Guides', 'Panorama Ridge', 'Pinecone Burke Provincial Park', 'Cabin Lake', 'Watersprite Lake', 'Ammonite Falls', 'Mt Thom Park']"
Dauphin,Manitoba,River Rafting,"['Glacier Guides and Montana Raft', 'Squamish Rafting Company', 'Hydra River Guides']"
Flin Flon,Manitoba,Hiking/Trekking,"['Trail of Hope', 'Burnaby Mountain Biking and Hiking Trails', 'Central Valley Greenway']"
Flin Flon,Manitoba,Cherry Blossom Viewing,"['Queen Elizabeth Park', 'Jean Beaty Park', 'Stanley Park', 'Mount Pleasant Park', 'Cherry Blossom Garden', 'Prince Edward Park', 'Devonian Harbour Park']"
Flin Flon,Manitoba,Skiing/Snowboarding,"['Baldy Mountain Resort', 'Grouse Mountain', 'Mount Cain Alpine Park', 'Fortress Ski Area']"
Flin Flon,Manitoba,Picnic,"['Meunch Bar Picnic Area', 'Belcarra Picnic Area', 'Mundy Park Picnic Shelter', 'Picnic point', 'Guelph Park', 'Picnic Pavilion', 'Picnic Area', 'Bambi Picnic Vancouver', 'Hume Park']"
Flin Flon,Manitoba,Camping,"['Seymour Group Campsite', 'Dogwood Campgrounds & RV Park', 'Capilano River RV Park', ""Raven's Nest Outdoor Group Campsite"", 'Apodaca Provincial Park']"
Kildonan,Manitoba,Boating,"['Shelter Island Marina & Boatyard', 'Coal Harbour Marina', 'Mosquito Creek Marina', 'Rocky Point Public Boat Launch']"
Kildonan,Manitoba,Camping,"[""Raven's Nest Outdoor Group Campsite"", 'BCRV', 'Muskrat Meadow Outdoor Group Campsite', 'Capilano River RV Park', 'Campertunity', 'Fort Camping', 'Bishop Creek Marine Campground']"
Kildonan,Manitoba,Beach,"['Spanish Banks Beach', 'Locarno Beach']"
Saint Boniface,Manitoba,Beach,"['New Brighton Beach', 'Second Beach']"
Saint Boniface,Manitoba,Picnic,"['Covered Area', 'Central Park Picnic Areas', 'Belcarra Picnic Area', 'Burnaby Fraser Foreshore Park Picnic Areas', 'Picnic Area', 'Burnaby Fraser Foreshore Park']"
Saint Boniface,Manitoba,Photography,"['Guelph Park', 'FlyOver Canada', 'Creekside Park', 'Equinox Gallery', 'Rocky Point Park', 'Canada Place']"
Saint Boniface,Manitoba,Rock Climbing,"['Vancouver Climbers Association', 'The Hive Climbing and Fitness', 'The Hive Bouldering Gym', 'SFU Climbing Wall', 'Project Climbing Cloverdale', 'Vancouver Mountain Guides']"
Swan River,Manitoba,Mountaineering,"['Stanley Park', 'Hiking trails & scenic valley views', 'Grouse Grind Trail', 'Panorama Ridge', 'Woodland Falls', 'Cheam Peak', 'Watersprite Lake', 'Say Nuth Khaw Yum Provincial Park', 'Vancouver Mountain Guides']"
Swan River,Manitoba,Cycling,"[""Cap's Bicycle Shop"", 'Van City Bikes and Skis', 'Yes Cycle Bike Rental', 'Burnaby Mountain Bike Skills Facility', 'Steed Cycles']"
Swan River,Manitoba,Hiking/Trekking,"['Trans Canada Trail', 'Trail of Hope']"
Swan River,Manitoba,Picnic,"['Jack`s Burn picnic area', 'Picnic Pavilion', 'Bambi Picnic Vancouver', 'Hume Park', 'Confederation Park Picnic Areas', 'Guelph Park', 'Burnaby Fraser Foreshore Park']"
Swan River,Manitoba,Boating,"['BURNABY SAILING ASSOCIATION - Barnet Marine Park', 'Grant Narrows Park at Pitt–Addington Marsh Wildlife Management Area', 'Burrard Civic Marina']"
Thompson,Manitoba,Canoeing,"['Whytecliff Park | West Vancouver', 'Kanaka Creek Regional Park', 'Talaysay Tours']"
Thompson,Manitoba,Picnic,"['Burnaby Fraser Foreshore Park Picnic Areas', 'Picnic Area', 'Burnaby Fraser Foreshore Park', 'Mundy Park Picnic Shelter', 'Covered Area', 'Bambi Picnic Vancouver']"
Thompson,Manitoba,Camping,"['Fort Camping', 'Capilano River RV Park', 'Muskrat Meadow Outdoor Group Campsite', 'Campertunity', 'Montague Provincial Campground (K2 Park Service)', 'Seymour Group Campsite', 'Apodaca Provincial Park', 'British Columbia Lodging & Campgrounds Association', 'BC Hydro Stave Falls Lodge and Campsite']"
Winnipeg,Manitoba,River Rafting,"['Alpine Adventures', 'Chilliwack River Rafting']"
Winnipeg,Manitoba,Horse-riding,"['Pacific Riding for Developing Abilities', 'Pathways on Pleasure Valley', 'Leghorn Ranch Horseback Trail Rides', 'Trail Riders of the Canadian Rockies', 'Banff Trail Riders - Stables', 'Leghorn Ranch Horseback Trail Rides']"
Winnipeg,Manitoba,Cycling,"['HUB Cycling', 'Tynehead Regional Park', 'Mactalla Cycles', ""Cap's Electric Bike Centre"", 'Van City Bikes and Skis', 'Cycle City Bike Shop & Repairs']"
Winnipeg,Manitoba,Photography,"['Prospect Point Lookout', 'Creekside Park']"
Winnipeg,Manitoba,Picnic,"['Belcarra Picnic Area', 'Covered Area', 'Bambi Picnic Vancouver', 'Central Park Picnic Areas', 'Picnic point', 'Locarno Beach Picnic Site']"
Winnipeg,Manitoba,Hiking/Trekking,"['Burnaby Mountain Urban Trail', ""Drummond's Walk"", 'Southshore Trail', 'Willingdon Jogging Trail']"
York Factory,Manitoba,Hiking/Trekking,"['Southshore Trail', 'Central Valley Greenway', 'South Side Trail', ""Drummond's Walk""]"
York Factory,Manitoba,Skiing/Snowboarding,"['Troll Ski Resort', 'Mount Timothy Recreational Resort', 'Mount Cain Alpine Park', 'Grouse Mountain', 'Whistler Blackcomb', 'Club Intrawest']"
York Factory,Manitoba,Cycling,"['Cycle City Bike Shop & Repairs', ""Cap's Bicycle Shop"", 'HUB Cycling', 'Burnaby Mountain Bike Skills Facility', 'Bert Flinn Park', 'Reckless Shipyards: eBikes, Skis & More!', 'Willingdon Linear Park', 'Yes Cycle Bike Rental']"
York Factory,Manitoba,Picnic,"['Central Park Picnic Areas', 'Confederation Park Picnic Areas', 'Meunch Bar Picnic Area', 'Rocky Point Picnic Shelter', 'Hume Park', 'Burnaby Fraser Foreshore Park Picnic Areas', 'Picnic Area', 'Covered Area', 'Picnic Pavilion']"
York Factory,Manitoba,Beach,"['Buntzen Lake North Beach', 'White Pine Beach', 'Jug Island Beach', 'Maple Beach']"
York Factory,Manitoba,Boating,"['Crescent Beach Marina', 'Reed Point Marina', 'BURNABY SAILING ASSOCIATION - Barnet Marine Park', 'Cates Park Boat Ramp', 'Ambleside Park | West Vancouver', 'Shelter Island Marina & Boatyard', 'Burnaby Fraser Foreshore Park']"
Bathurst,New Brunswick,Swimming,"['Templeton Park Pool', 'C.G. Brown Memorial Pool', 'Kerrisdale Pool', 'Central Park Outdoor Pool', 'SFU Aquatic Centre', 'Port Coquitlam Leisure Pool', 'Wading Pool', 'MacPherson Outdoor Pool']"
Bathurst,New Brunswick,Hiking/Trekking,"['Suraci’s Trail', ""Drummond's Walk"", 'South Side Trail', 'Central Valley Greenway', 'West Forest Trails']"
Bathurst,New Brunswick,Fishing,"['Cabin Lake', 'Rocky Point Park', 'Silversides Fishing Adventures', 'Capilano River Hatchery', 'Cleveland Dam']"
Bathurst,New Brunswick,Horse-riding,"['Glen Valley Stables', 'Inspire horsemanship', 'Leghorn Ranch Horseback Trail Rides', 'Boundary Ranch', 'Footnote Farm', 'Copper Cayuse Outfitters', 'Banff Trail Riders - Stables', 'Farm Ventures', 'Pacific Riding for Developing Abilities']"
Caraquet,New Brunswick,Fishing,"['Rolley Lake Provincial Park', 'Fraser River Park', 'Cabin Lake', ""Lang's Fishing Adventures"", 'Deer Lake Park', 'Westminster Pier Park', 'Lost Lagoon, Stanley Park', 'Lower Pond', 'Kanaka Creek Regional Park']"
Caraquet,New Brunswick,Beach,"['Pebbly Beach', 'White Pine Beach', 'New Brighton Beach', 'Parkside Beach']"
Caraquet,New Brunswick,Canoeing,"['Talaysay Tours', 'Majestic Ocean Kayaking', 'Whytecliff Park | West Vancouver', 'North Island Kayak', 'Creekside Kayaks at Dragon Boat BC', 'Wildcoast Adventures', 'Banff Canoe Club', 'Say Nuth Khaw Yum Provincial Park', 'Bowron Lake Provincial Park']"
Caraquet,New Brunswick,Skiing/Snowboarding,"['Grouse Mountain', 'Sun Peaks Resort', 'SilverStar Mountain Resort', 'Phoenix Mountain Ski Area']"
Dalhousie,New Brunswick,River Rafting,"['Interior Whitewater Expeditions Ltd', 'Triad River Tours', 'Adams River Rafting Ltd', 'River Drifters - White Salmon River Rafting', 'Glacier Guides and Montana Raft', 'Chilliwack River Rafting']"
Dalhousie,New Brunswick,Camping,"['Discover Camping', 'Dogwood Campgrounds & RV Park', 'Anmore Camp & RV Park', 'Montague Provincial Campground (K2 Park Service)', 'Campnab']"
Dalhousie,New Brunswick,Hiking/Trekking,"['Central Valley Greenway', 'Jug Island Trailhead', 'Cottonwood Trail', 'West Forest Trails', 'Trail of Hope', 'Glenbrook Ravine Trail', 'Velodrome Trail', 'Burnaby Lake Regional Park']"
Dalhousie,New Brunswick,Photography,"['Creekside Park', 'Prospect Point Lookout', 'FlyOver Canada', 'Stanley Park']"
Dalhousie,New Brunswick,Mountaineering,"['Whytecliff Park | West Vancouver', 'Capilano Suspension Bridge Park', 'Grouse Grind Trail', 'Rocky Mountaineer Station', 'Cheam Peak']"
Fredericton,New Brunswick,Canoeing,"['Whytecliff Park | West Vancouver', 'North Island Kayak', 'Banff Canoe Club']"
Fredericton,New Brunswick,Photography,"['Rocky Point Park', 'Capilano Suspension Bridge Park', 'Creekside Park', 'Guelph Park', 'VanDusen Botanical Garden', 'Vancouver Photographer | Enjoy The Journey Studios', 'Prospect Point Lookout']"
Fredericton,New Brunswick,Hiking/Trekking,"['Burnaby lake', ""Drummond's Walk"", 'Burnaby Mountain Conservation Area']"
Miramichi,New Brunswick,Camping,"['Muskrat Meadow Outdoor Group Campsite', 'Campertunity', 'Seymour Group Campsite', 'Klahanie Campground', 'Capilano River RV Park', 'BC Hydro Stave Falls Lodge and Campsite', 'Montague Provincial Campground (K2 Park Service)', 'Campnab', 'BCRV']"
Miramichi,New Brunswick,River Rafting,"['Kumsheen Rafting Resort', 'Hydra River Guides', 'Outdoor Adventure Center', 'West Coast Canyoning Adventures', 'Wedge Rafting', 'Glacier Guides and Montana Raft', 'Alpine Adventures', 'Orion River Rafting', 'Squamish Rafting Company']"
Miramichi,New Brunswick,Horse-riding,"['A/Z Mountain Adventures', 'Boundary Ranch', 'North Shore Equestrian Centre', 'Banff Trail Riders - Stables', 'Valle Vista Stables']"
Miramichi,New Brunswick,Swimming,"['City Centre Aquatic Complex', 'Stan Stronge Pool', 'Propel Swimming Lessons Burnaby', 'Vancouver Aquatic Centre', 'RONA Coquitlam (Austin)', 'C.G. Brown Memorial Pool', 'MacPherson Outdoor Pool']"
Miramichi,New Brunswick,Rock Climbing,"['Climblife', 'Climb Base5 (North Vancouver)', 'Climb Away']"
Miramichi,New Brunswick,Cycling,"['Steed Cycles', 'Willingdon Linear Park', 'Mactalla Cycles', 'Cycle City Bike Shop & Repairs', 'Burnaby Velodrome Club', 'Tynehead Regional Park', 'Bikes For All', ""Cap's Bicycle Shop"", 'Velo Star Cafe']"
